n,k,tipo_operacao,p,disponibilidade_teorica,disponibilidade_simulada,erro_absoluto
1000,500,Metade dos Servidores (k = n/2),0.23529,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.26471,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.29412,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.32353,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.35294,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.38235,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.41176,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.44118,0.000107,3.3e-05,7.3e-05
1000,500,Metade dos Servidores (k = n/2),0.47059,0.033579,0.033167,0.000413
1000,500,Metade dos Servidores (k = n/2),0.48,0.108581,0.107133,0.001448
1000,500,Metade dos Servidores (k = n/2),0.49,0.273901,0.2758,0.001899
1000,500,Metade dos Servidores (k = n/2),0.5,0.512613,0.511133,0.001479
1000,500,Metade dos Servidores (k = n/2),0.51,0.74675,0.7457,0.00105
1000,500,Metade dos Servidores (k = n/2),0.52,0.902746,0.904133,0.001387
1000,500,Metade dos Servidores (k = n/2),0.52941,0.970879,0.970933,5.4e-05
1000,500,Metade dos Servidores (k = n/2),0.55882,0.999917,0.999967,5e-05
1000,500,Metade dos Servidores (k = n/2),0.58824,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.61765,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.64706,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.67647,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.70588,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.73529,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.76471,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.79412,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.82353,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.85294,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.88235,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.91176,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.94118,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.97059,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.995,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.999,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),1.0,1.0,1.0,0.0
1000,1000,Todos os Servidores (k = n),0.0,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.0005,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.001,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.002,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.005,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.01,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.02,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.02941,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.05,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.05882,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.08824,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.11765,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.14706,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.17647,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.20588,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.23529,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.26471,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.29412,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.32353,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.35294,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.38235,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.41176,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.44118,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.47059,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.48,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.49,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.5,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.51,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.52,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.52941,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.55882,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.58824,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.61765,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.64706,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.67647,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.70588,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.73529,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.76471,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.79412,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.82353,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.85294,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.88235,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.91176,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.94118,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.97059,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.995,0.006654,0.007667,0.001013
1000,1000,Todos os Servidores (k = n),0.999,0.367695,0.367467,0.000229
1000,1000,Todos os Servidores (k = n),1.0,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.0,0.0,0.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.0005,0.99327,0.992233,0.001037
10000,1,1 Servidor Ativo (k = 1),0.001,0.999955,0.999933,2.1e-05
10000,1,1 Servidor Ativo (k = 1),0.002,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.005,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.01,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.02,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.02941,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.05,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.05882,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.08824,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.11765,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.14706,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.17647,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.20588,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.23529,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.26471,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.29412,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.32353,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.35294,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.38235,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.41176,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.44118,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.47059,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.48,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.49,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.5,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.51,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.52,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.52941,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.55882,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.58824,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.61765,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.64706,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.67647,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.70588,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.73529,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.76471,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.79412,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.82353,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.85294,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.88235,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.91176,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.94118,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.97059,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.995,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),0.999,1.0,1.0,0.0
10000,1,1 Servidor Ativo (k = 1),1.0,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.0,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.0005,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.001,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.002,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.005,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.01,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.02,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.02941,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.05,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.05882,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.08824,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.11765,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.14706,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.17647,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.20588,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.23529,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.26471,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.29412,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.32353,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.35294,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.38235,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.41176,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.44118,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.47059,0.0,0.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.48,3.3e-05,3.3e-05,1e-06
10000,5000,Metade dos Servidores (k = n/2),0.49,0.023282,0.023167,0.000115
10000,5000,Metade dos Servidores (k = n/2),0.5,0.503989,0.504367,0.000377
10000,5000,Metade dos Servidores (k = n/2),0.51,0.977798,0.978033,0.000236
10000,5000,Metade dos Servidores (k = n/2),0.52,0.99997,0.999967,3e-06
10000,5000,Metade dos Servidores (k = n/2),0.52941,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.55882,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.58824,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.61765,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.64706,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.67647,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.70588,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.73529,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.76471,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.79412,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.82353,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.85294,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.88235,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.91176,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.94118,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.97059,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.995,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),0.999,1.0,1.0,0.0
10000,5000,Metade dos Servidores (k = n/2),1.0,1.0,1.0,0.0
10000,10000,Todos os Servidores (k = n),0.0,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.0005,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.001,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.002,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.005,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.01,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.02,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.02941,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.05,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.05882,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.08824,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.11765,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.14706,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.17647,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.20588,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.23529,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.26471,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.29412,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.32353,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.35294,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.38235,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.41176,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.44118,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.47059,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.48,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.49,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.5,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.51,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.52,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.52941,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.55882,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.58824,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.61765,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.64706,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.67647,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.70588,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.73529,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.76471,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.79412,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.82353,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.85294,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.88235,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.91176,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.94118,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.97059,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.995,0.0,0.0,0.0
10000,10000,Todos os Servidores (k = n),0.999,4.5e-05,6.7e-05,2.1e-05
10000,10000,Todos os Servidores (k = n),1.0,1.0,1.0,0.0
